Rank,County,Population
1,Miami-Dade County,"2,715,516"
2,Broward County,"1,909,151"
3,Palm Beach County,"1,446,277"
4,Hillsborough County,"1,378,883"
5,Orange County,"1,321,194"
6,Pinellas County,"957,875"
7,Duval County,"924,229"
8,Lee County,"718,679"
9,Polk County,"668,671"
10,Brevard County,"576,808"
11,Volusia County,"527,634"
12,Pasco County,"510,593"
13,Seminole County,"455,086"
14,Sarasota County,"412,144"
15,Manatee County,"373,853"
16,Collier County,"363,922"
17,Marion County,"348,371"
18,Osceola County,"338,619"
19,Lake County,"335,362"
20,Escambia County,"311,522"
21,St. Lucie County,"305,591"
22,Leon County,"288,102"
23,Alachua County,"263,148"
24,St. Johns County,"235,503"
25,Clay County,"207,291"
26,Okaloosa County,"200,737"
27,Hernando County,"182,696"
28,Bay County,"182,482"
29,Charlotte County,"176,954"
30,Santa Rosa County,"170,442"
31,Martin County,"157,581"
32,Indian River County,"150,984"
33,Citrus County,"143,087"
34,Sumter County,"120,999"
35,Flagler County,"107,139"
36,Highlands County,"102,101"
37,Nassau County,"80,578"
38,Monroe County,"76,325"
39,Putnam County,"72,766"
40,Columbia County,"69,105"
41,Walton County,"65,858"
42,Jackson County,"48,472"
43,Gadsden County,"46,017"
44,Suwannee County,"43,924"
45,Okeechobee County,"40,572"
46,Hendry County,"40,127"
47,Levy County,"39,961"
48,DeSoto County,"36,399"
49,Wakulla County,"31,877"
50,Baker County,"27,785"
51,Hardee County,"27,228"
52,Bradford County,"26,979"
53,Washington County,"24,566"
54,Taylor County,"22,098"
55,Holmes County,"19,430"
56,Madison County,"18,474"
57,Gilchrist County,"17,615"
58,Dixie County,"16,437"
59,Gulf County,"16,055"
60,Union County,"15,239"
61,Calhoun County,"14,444"
62,Hamilton County,"14,269"
63,Jefferson County,"14,105"
64,Glades County,"13,363"
65,Franklin County,"11,736"
66,Lafayette County,"8,744"
67,Liberty County,"8,365"
